priority	sequence	goal_id	title	ledger_state	previous_report_number
1	1	coordinator-loop-prevention	Prevent repeated proof and repair cycles	claimed	1.01
1	2	host-runtime-setup	Host setup for Claude, Codex and Devin	approved	1.03
1	3	backlog-ordered-by-priority	Human-controlled priority and sequence	approved	1.04
1	4	dispatch-cap-necessity	Charge completed work for time actually used	approved	1.05
1	5	breach-clock-and-budget-honesty	Keep elapsed-budget accounting honest	approved	1.06
1	6	governed-exhaustion-reprojection	Recompute exhaustion when a run finishes	approved	1.07
1	7	breach-stop-wedges-seat	Free a machine after a budget stop	approved	1.08
1	8	review-round-limit-counts-per-chain	Bound reviews across the intended scope	approved	1.09
1	9	human-goal-verbs-forgiving	Make human budget commands forgiving	approved	1.10
1	10	account-provenance	Record which account paid for work	claimed	1.11
1	11	severity-tiered-rigor-p2	Finish risk-based stop and close rules	approved	1.12
1	12	severity-tiered-rigor	Match process depth to risk	approved	1.13
1	13	small-change-lane	Make small reviewed changes inexpensive	approved	1.14
1	14	steward-revives-a-done-goal	Prevent duplicate or obsolete revival	queued	1.15
1	15	live-job-on-a-done-goal-unnoticed	Detect workers attached to finished work	queued	1.16
1	16	job-record-birth-token	Identify each worker record incarnation	approved	1.17
1	17	failed-job-attention	Keep failed workers visible until resolved	approved	1.18
1	18	burn-without-delivery-tripwire	Detect effort without delivered results	approved	1.19
1	19	watch-verb	Watch work and act on stalls	queued	1.20
1	20	turn-verdict-hardening	Make end-of-turn decisions trustworthy	approved	1.21
1	21	steward-catchup-livelock	Let a returning steward finish catching up	queued	1.22
1	22	watcher-repair-request-never-names-current	Recover from stale watcher repair requests	queued	1.23
1	23	delegate-job-liveness	Keep worker status and custody truthful	approved	1.24
1	24	actionable-metrics	Turn measurements into corrective action	claimed	1.25
1	25	lease-sweep-death-evidence	Record death only after proving it	approved	1.26
1	26	winddown-census-handoff-leak	Retain custody when shutdown cannot finish	approved	1.27
1	27	suite-custody	Keep entire validation process trees owned	approved	1.28
1	28	proof-harness-process-custody	Own test load generators reliably	approved	1.29
1	29	fixture-stewards-outlive-their-suite	Stop fixture supervisors when their suite ends	queued	1.30
1	30	machine-concurrency-governor	Share machine capacity without overload	approved	1.31
1	31	token-spend-fence	Enforce token and money ceilings	approved	1.32
2	1	human-approval-for-execution	Only humans authorize execution	approved	2.01
2	2	one-approval-gate	One approval for a goal and its mission	queued	2.02
2	3	hook-enrollment-per-checkout	Ensure every checkout has its guards	approved	2.03
2	4	adoption-inventory-from-install-set	Derive ownership from what adoption installed	queued	2.04
2	5	design-gate-at-dispatch	Require reviewed design before building	approved	2.05
2	6	manifest-floor-at-dispatch	Prevent false mechanical classification	approved	2.06
2	7	critique-always	Independent critique for every build	approved	2.07
2	8	merge-stage-critic-close	Allow lawful independent critic closure	queued	2.08
2	9	landing-design-provenance	Carry certified design evidence into landing	queued	2.09
2	10	commit-goal-binding	Bind each landing to its claimed goal	approved	2.10
2	11	chain-landing-carries-the-reviewed-diff	Land the implementation that was reviewed	queued	2.11
2	12	chain-landing-carries-unrelated-staged-plans	Exclude unrelated staged files from a landing	queued	2.12
2	13	chain-landing-after-base-move-recertifies	Re-certify reviewed work after main changes	claimed	2.13
2	14	repo-root-paths-ride-agent-commits-unjudged	Judge changes outside the installation directory	approved	2.14
2	15	gate-governance-records	Govern new refusal checks	approved	2.15
2	16	two-bars-for-changes	Distinguish mechanical and design changes safely	approved	2.16
2	17	role-context-composition	Give each role the right context	approved	2.17
2	18	role-lane-packets	Enforce the configured development roles	approved	2.18
2	19	idle-every-runtime-enforcement	Restart idle work across every runtime	queued	2.19
2	20	role-liveness-watchdog	Observe and recover every background role	approved	2.20
2	21	recovery-to-good-state	Recover cleanly from partial failure	approved	2.21
2	22	metasystem-stop-escalation-proofs	Complete stop escalation tests	queued	2.22
2	23	recovery-rehearsal	Prove recovery and durable stop	approved	2.23
2	24	mission-birth-baseline-from-dirty-worktree	Give missions a stable birth baseline	queued	2.24
2	25	fleet-pull	Automatically take the next eligible goal	queued	2.25
2	26	fleet-channel-gateway	One reliable human channel for all nodes	approved	2.26
2	27	seat-mutual-awareness	Let nodes see and question each other	approved	2.27
2	28	fleet-join-bootstrap	Join a fresh node without manual reconstruction	approved	2.28
2	29	first-headless-run	First real unattended feature	approved	2.29
2	30	host-implementer-wall	Enforce separation between host and implementer	parked	2.30
2	31	headless-continuous-delivery-proof	Prove sustained delivery on one node	queued	2.31
2	32	headless-fleet-coordination-proof	Prove two nodes and the brain together	queued	2.32
2	33	never-idle-ironclad	Overall headless readiness	approved	2.33
3	1	goal-scope-bounds	Split large goals into bounded members	queued	3.01
3	2	goal-edit-next-append	Add handoff notes without erasing newer work	approved	3.02
3	3	goal-by-flag-doubles-human-prefix	Accept a human name consistently	queued	3.03
3	4	goal-done-flags-do-not-match-the-verb-table	Make completion commands match their help	queued	3.04
3	5	edit-tier-remedy-names-a-refused-command	Print a working risk-change remedy	queued	3.05
3	6	norm-approval-reads-a-file-the-ledger-does-not-carry	Find budget authority from shared evidence	queued	3.06
3	7	resume-reclaims-on-handover	Resume work on the intended machine	approved	3.07
3	8	human-proof-fits-the-act	Match human identity checks to the action	approved	3.08
3	9	verbs-match-intent	Commands that express what people want	approved	3.09
3	10	repair-accept-remote-verb	Provide the advertised ledger repair command	approved	3.10
3	11	defect-analysis-gate	Challenge a diagnosis before fixing a defect	approved	3.11
