# source	operation	fingerprint	semantic-fingerprint	classification	owner	evidence
cmd/metasystem/adapter_runtime_verbs_test.go	process-stream	2541a36690e5134f	2db25142870ff041	process-private	withStdin owns standard input inside the isolated cmd/metasystem test process and restores it after the verb consumer	withStdin@28 assignment os.Stdin = saved
cmd/metasystem/adapter_runtime_verbs_test.go	process-stream	94e9fa3457ee7dfd	2db25142870ff041	process-private	withStdin owns standard input inside the isolated cmd/metasystem test process and restores it after the verb consumer	withStdin@22 assignment os.Stdin = read
cmd/metasystem/adoption_comparison_test.go	external-executable	fed3c609a8f988fd	1461da93c47f31d3	host-readonly	"TestAdoptionComparisonSelectedScenarios fixture subprocess owns invoking executable ""git"""	TestAdoptionComparisonSelectedScenarios@120 exec.Command path[0]="git"
cmd/metasystem/adoption_comparison_test.go	host-time-read	a9497da1c588c413	21ee583b9eb94c21	fixture-time	TestAdoptionComparisonSelectedScenarios command diagnostic clock; command exit status and fixture artifacts decide success	TestAdoptionComparisonSelectedScenarios@79 call time.Since(started)
cmd/metasystem/adoption_comparison_test.go	host-time-read	c460a99f432e057d	21ee583b9eb94c21	fixture-time	TestAdoptionComparisonSelectedScenarios command diagnostic clock; command exit status and fixture artifacts decide success	TestAdoptionComparisonSelectedScenarios@69 call time.Now()
cmd/metasystem/adoption_comparison_test.go	host-time-read	c460a99f432e057d-2	21ee583b9eb94c21	fixture-time	TestAdoptionComparisonSelectedScenarios command diagnostic clock; command exit status and fixture artifacts decide success	TestAdoptionComparisonSelectedScenarios@228 call time.Now()
cmd/metasystem/adoption_comparison_test.go	host-time-read	fac317913fd46b85	55d1a608fca43669	fixture-time	seedAdoptionComparisonGoal operation fac317913fd46b85 reviewed fixture clock owner	seedAdoptionComparisonGoal@328 call time.Now()
cmd/metasystem/adoption_comparison_test.go	process-environment	26efd1151e61634f	8b6c0c37f5c9c841	process-private	"TestAdoptionComparisonSelectedScenarios consumer inside cmd/metasystem TestMain testenv.Main process namespace owns call t.Setenv(""METASYSTEM_SUPERVISION_REGISTRY_HOME"", filepath.Join(bed, ""registry""))"	TestAdoptionComparisonSelectedScenarios@62 call t.Setenv("METASYSTEM_SUPERVISION_REGISTRY_HOME", filepath.Join(bed, "registry"))
cmd/metasystem/adoption_comparison_test.go	unknown-external-path	1ca75b7b2720da64	be10c30ca7a40352	fixture-data	"TestAdoptionComparisonSelectedScenarios fixture namespace owns filepath.Join(bed, ""adopt-filled.out"")"	TestAdoptionComparisonSelectedScenarios@291 os.ReadFile path[0]=filepath.Join(bed, "adopt-filled.out")
cmd/metasystem/adoption_comparison_test.go	unknown-external-path	28a8d43b153b4856	be10c30ca7a40352	fixture-data	TestAdoptionComparisonSelectedScenarios fixture namespace owns rules	TestAdoptionComparisonSelectedScenarios@165 os.ReadFile path[0]=rules
cmd/metasystem/adoption_comparison_test.go	unknown-external-path	390159f3383e07a0	be10c30ca7a40352	fixture-data	TestAdoptionComparisonSelectedScenarios fixture namespace owns repeat	TestAdoptionComparisonSelectedScenarios@263 os.ReadFile path[0]=repeat
cmd/metasystem/adoption_comparison_test.go	unknown-external-path	41870a198948a5c9	be10c30ca7a40352	fixture-data	TestAdoptionComparisonSelectedScenarios fixture namespace owns target	TestAdoptionComparisonSelectedScenarios@142 os.MkdirAll path[0]=target
cmd/metasystem/adoption_comparison_test.go	unknown-external-path	66b55c23307c0a9e	be10c30ca7a40352	fixture-data	"TestAdoptionComparisonSelectedScenarios fixture namespace owns filepath.Join(target, ""testing.json"")"	TestAdoptionComparisonSelectedScenarios@194 os.ReadFile path[0]=filepath.Join(target, "testing.json")
cmd/metasystem/adoption_comparison_test.go	unknown-external-path	8b97086c01384eda	be10c30ca7a40352	fixture-data	TestAdoptionComparisonSelectedScenarios fixture namespace owns group.LogPath	TestAdoptionComparisonSelectedScenarios@94 os.ReadFile path[0]=group.LogPath
cmd/metasystem/adoption_comparison_test.go	unknown-external-path	b74870720b43564a	be10c30ca7a40352	fixture-data	TestAdoptionComparisonSelectedScenarios fixture namespace owns argv[0]	TestAdoptionComparisonSelectedScenarios@67 exec.Command path[0]=argv[0]
cmd/metasystem/adoption_comparison_test.go	unknown-external-path	e4bfd602913a5575	be10c30ca7a40352	fixture-data	TestAdoptionComparisonSelectedScenarios fixture namespace owns rules	TestAdoptionComparisonSelectedScenarios@181 os.WriteFile path[0]=rules
cmd/metasystem/adoption_comparison_test.go	unknown-external-path	f1073bd63d23b0eb	be10c30ca7a40352	fixture-data	TestAdoptionComparisonSelectedScenarios fixture namespace owns first	TestAdoptionComparisonSelectedScenarios@262 os.ReadFile path[0]=first
