report_order	priority	sequence	goal_id	title	ledger_state	disposition	machine_pin	recorded_prerequisites	additional_report_precedence	snapshot
1	1	1	coordinator-loop-prevention	Prevent repeated proof and repair cycles	claimed					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
2	1	2	metasystem-stop-verb	Reliable stop, status and restart	claimed					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
3	1	3	host-runtime-setup	Host setup for Claude, Codex and Devin	approved	Landed; closure pending				ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
4	1	4	backlog-ordered-by-priority	Human-controlled priority and sequence	approved		m1b			ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
5	1	5	dispatch-cap-necessity	Charge completed work for time actually used	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
6	1	6	breach-clock-and-budget-honesty	Keep elapsed-budget accounting honest	approved	Hold/approval conflict				ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
7	1	7	governed-exhaustion-reprojection	Recompute exhaustion when a run finishes	approved				dispatch-cap-necessity	ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
8	1	8	breach-stop-wedges-seat	Free a machine after a budget stop	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
9	1	9	review-round-limit-counts-per-chain	Bound reviews across the intended scope	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
10	1	10	human-goal-verbs-forgiving	Make human budget commands forgiving	parked	Suspended; no automatic resumption				ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
11	1	11	account-provenance	Record which account paid for work	claimed	Claim/handoff conflict; budget decision noted				ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
12	1	12	severity-tiered-rigor-p2	Finish risk-based stop and close rules	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
13	1	13	severity-tiered-rigor	Match process depth to risk	approved				severity-tiered-rigor-p2	ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
14	1	14	small-change-lane	Make small reviewed changes inexpensive	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
15	1	15	steward-revives-a-done-goal	Prevent duplicate or obsolete revival	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
16	1	16	live-job-on-a-done-goal-unnoticed	Detect workers attached to finished work	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
17	1	17	job-record-birth-token	Identify each worker record incarnation	approved	Pause/history conflict				ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
18	1	18	failed-job-attention	Keep failed workers visible until resolved	approved				job-record-birth-token	ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
19	1	19	burn-without-delivery-tripwire	Detect effort without delivered results	approved	Review closure				ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
20	1	20	watch-verb	Watch work and act on stalls	queued	Action trials and activation required				ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
21	1	21	turn-verdict-hardening	Make end-of-turn decisions trustworthy	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
22	1	22	steward-catchup-livelock	Let a returning steward finish catching up	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
23	1	23	watcher-repair-request-never-names-current	Recover from stale watcher repair requests	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
24	1	24	delegate-job-liveness	Keep worker status and custody truthful	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
25	1	25	actionable-metrics	Turn measurements into corrective action	claimed	Claim/handoff conflict; remaining work			delegate-job-liveness	ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
26	1	26	lease-sweep-death-evidence	Record death only after proving it	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
27	1	27	winddown-census-handoff-leak	Retain custody when shutdown cannot finish	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
28	1	28	suite-custody	Keep entire validation process trees owned	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
29	1	29	proof-harness-process-custody	Own test load generators reliably	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
30	1	30	fixture-stewards-outlive-their-suite	Stop fixture supervisors when their suite ends	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
31	1	31	machine-concurrency-governor	Share machine capacity without overload	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
32	1	32	token-spend-fence	Enforce token and money ceilings	approved	Enforcement activation required				ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
33	2	1	human-approval-for-execution	Only humans authorize execution	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
34	2	2	one-approval-gate	One approval for a goal and its mission	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
35	2	3	hook-enrollment-per-checkout	Ensure every checkout has its guards	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
36	2	4	adoption-inventory-from-install-set	Derive ownership from what adoption installed	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
37	2	5	design-gate-at-dispatch	Require reviewed design before building	approved			design-chain-has-no-lawful-close		ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
38	2	6	manifest-floor-at-dispatch	Prevent false mechanical classification	approved			path-class-manifest		ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
39	2	7	critique-always	Independent critique for every build	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
40	2	8	merge-stage-critic-close	Allow lawful independent critic closure	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
41	2	9	landing-design-provenance	Carry certified design evidence into landing	queued			design-gate-at-dispatch,path-class-manifest		ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
42	2	10	commit-goal-binding	Bind each landing to its claimed goal	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
43	2	11	chain-landing-carries-the-reviewed-diff	Land the implementation that was reviewed	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
44	2	12	chain-landing-carries-unrelated-staged-plans	Exclude unrelated staged files from a landing	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
45	2	13	chain-landing-after-base-move-recertifies	Re-certify reviewed work after main changes	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
46	2	14	repo-root-paths-ride-agent-commits-unjudged	Judge changes outside the installation directory	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
47	2	15	gate-governance-records	Govern new refusal checks	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
48	2	16	two-bars-for-changes	Distinguish mechanical and design changes safely	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
49	2	17	role-context-composition	Give each role the right context	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
50	2	18	role-lane-packets	Enforce the configured development roles	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
51	2	19	idle-every-runtime-enforcement	Restart idle work across every runtime	queued			watch-verb		ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
52	2	20	role-liveness-watchdog	Observe and recover every background role	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
53	2	21	recovery-to-good-state	Recover cleanly from partial failure	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
54	2	22	metasystem-stop-escalation-proofs	Complete stop escalation tests	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
55	2	23	recovery-rehearsal	Prove recovery and durable stop	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
56	2	24	mission-birth-baseline-from-dirty-worktree	Give missions a stable birth baseline	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
57	2	25	fleet-pull	Automatically take the next eligible goal	queued			one-approval-gate	backlog-ordered-by-priority	ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
58	2	26	fleet-channel-gateway	One reliable human channel for all nodes	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
59	2	27	seat-mutual-awareness	Let nodes see and question each other	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
60	2	28	fleet-join-bootstrap	Join a fresh node without manual reconstruction	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
61	2	29	first-headless-run	First real unattended feature	approved		m1			ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
62	2	30	host-implementer-wall	Enforce separation between host and implementer	parked	Suspended; no automatic resumption		wall-o13-acceptance-write,wall-o14-sealed-dirty-composition,wall-o15-head-accounting,wall-o16-host-repo-fence,wall-o19-recovery-ladder,wall-o8-verbatim-interim,wall-o9-extractor-floor,wall-o10-evidence-durability,wall-o11-legacy-state-refusal		ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
63	2	31	headless-continuous-delivery-proof	Prove sustained delivery on one node	queued			chain-landing-after-base-move-recertifies,chain-landing-carries-the-reviewed-diff,critique-always,design-gate-at-dispatch,first-headless-run,fleet-pull,host-runtime-setup,landing-design-provenance,manifest-floor-at-dispatch,metasystem-stop-verb,one-approval-gate		ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
64	2	32	headless-fleet-coordination-proof	Prove two nodes and the brain together	queued			fleet-channel-gateway,fleet-coordinator-brain,fleet-join-bootstrap,headless-continuous-delivery-proof,seat-mutual-awareness		ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
65	2	33	never-idle-ironclad	Overall headless readiness	approved			headless-continuous-delivery-proof,headless-fleet-coordination-proof,host-runtime-setup,idle-every-runtime-enforcement,metasystem-stop-verb,recovery-rehearsal,recovery-to-good-state,turn-verdict-hardening		ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
66	3	1	goal-scope-bounds	Split large goals into bounded members	queued					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
67	3	2	goal-edit-next-append	Add handoff notes without erasing newer work	approved					ece31b549a4446d4b11bb1b76f54e3c8df83d2f4
